vid,frame,x1,y1,x2,y2,score,label
S102T2,1.0,481.50836181640625,557.3136596679688,902.291748046875,1062.007568359375,0.9950149655342102,suction
S102T2,1.0,450.2602844238281,529.8018188476562,902.9140014648438,1070.1680908203125,0.08780219405889511,grasper
S102T2,1.0,433.0966796875,376.3469543457031,920.2517700195312,1015.8486328125,0.06093538552522659,cottonoid
S102T2,1.0,506.7646789550781,571.4287719726562,904.8785400390625,1064.924072265625,0.054489001631736755,muscle
S102T2,2.0,491.6610107421875,566.280517578125,918.2237548828125,1071.0960693359375,0.9957519769668579,suction
S102T2,2.0,452.0559997558594,535.23681640625,906.7922973632812,1071.593994140625,0.11255455017089844,grasper
S102T2,2.0,432.5587463378906,383.6522216796875,923.3129272460938,1012.0482177734375,0.08293110132217407,cottonoid
S102T2,2.0,470.1281433105469,369.6848449707031,1068.3082275390625,997.4874267578125,0.0753229632973671,suction
S102T2,2.0,432.5587463378906,383.6522216796875,923.3129272460938,1012.0482177734375,0.06760098040103912,muscle
S102T2,2.0,470.1281433105469,369.6848449707031,1068.3082275390625,997.4874267578125,0.06739436089992523,grasper
S102T2,2.0,388.3736877441406,147.1761016845703,963.043701171875,864.9611206054688,0.05571538209915161,cottonoid
S102T2,2.0,452.0559997558594,535.23681640625,906.7922973632812,1071.593994140625,0.05461632087826729,string
S102T2,2.0,514.316650390625,622.1807861328125,885.7494506835938,1066.6688232421875,0.051696259528398514,muscle
S102T2,10.0,735.0335083007812,736.5056762695312,1281.009521484375,1078.8297119140625,0.9635117650032043,suction
S102T2,10.0,792.9595947265625,736.1010131835938,1296.9373779296875,1060.3258056640625,0.1329651027917862,grasper
S102T2,10.0,1029.5360107421875,709.39013671875,1365.450927734375,1053.4727783203125,0.12722401320934296,grasper
S102T2,10.0,664.979248046875,701.1189575195312,1011.5382080078125,1050.4197998046875,0.12263154983520508,grasper
S102T2,10.0,603.0670166015625,534.9859619140625,1215.322509765625,1072.3692626953125,0.0975843295454979,suction
S102T2,10.0,664.979248046875,701.1189575195312,1011.5382080078125,1050.4197998046875,0.09069852530956268,suction
S102T2,10.0,727.1309204101562,731.57275390625,1297.06689453125,1078.8297119140625,0.07893881946802139,muscle
S102T2,10.0,547.2335815429688,688.579833984375,885.3421630859375,1049.5523681640625,0.0740651935338974,grasper
S102T2,10.0,717.3682250976562,731.314208984375,1292.146240234375,1078.8297119140625,0.07124977558851242,cottonoid
S102T2,10.0,727.1309204101562,731.57275390625,1297.06689453125,1078.8297119140625,0.07034996151924133,drill
S102T2,10.0,689.0960693359375,362.8761901855469,1315.4482421875,1037.6407470703125,0.0683177039027214,grasper
S102T2,10.0,659.6677856445312,731.972900390625,941.9893188476562,1078.8297119140625,0.06342662125825882,cottonoid
S102T2,10.0,843.3809204101562,562.8367309570312,1424.2728271484375,1078.8297119140625,0.06010868027806282,grasper
S102T2,10.0,1029.5360107421875,709.39013671875,1365.450927734375,1053.4727783203125,0.05710221081972122,suction
S102T2,10.0,843.3809204101562,562.8367309570312,1424.2728271484375,1078.8297119140625,0.05097253993153572,suction
S102T2,10.0,1029.5360107421875,709.39013671875,1365.450927734375,1053.4727783203125,0.0505206324160099,string
S102T2,11.0,533.10498046875,671.4924926757812,857.3035278320312,1074.3009033203125,0.9944151639938354,suction
S102T2,11.0,532.8956298828125,672.73291015625,853.970458984375,1074.2996826171875,0.06498608738183975,grasper
S102T2,11.0,533.8836669921875,675.5970458984375,856.5084838867188,1072.633056640625,0.06015961617231369,muscle
S102T2,11.0,535.2371215820312,672.4420166015625,857.132568359375,1068.028076171875,0.05045031011104584,cottonoid
S102T2,12.0,625.5545654296875,721.515625,887.5700073242188,1076.9576416015625,0.9926196932792664,suction
S102T2,12.0,626.435546875,717.4988403320312,892.6329956054688,1075.880859375,0.07947638630867004,cottonoid
S102T2,12.0,455.3724060058594,660.9693603515625,833.9635620117188,1078.63525390625,0.07922427356243134,suction
S102T2,12.0,625.151123046875,717.014404296875,882.8372192382812,1076.6407470703125,0.07376033067703247,string
S102T2,12.0,625.151123046875,717.014404296875,882.8372192382812,1076.6407470703125,0.07280146330595016,grasper
S102T2,12.0,626.435546875,717.4988403320312,892.6329956054688,1075.880859375,0.05493231862783432,muscle
S102T2,13.0,498.2982177734375,625.1019897460938,847.4247436523438,1055.5552978515625,0.96205073595047,suction
S102T2,13.0,498.2982177734375,625.1019897460938,847.4247436523438,1055.5552978515625,0.1654396653175354,grasper
S102T2,13.0,492.8122253417969,629.2427368164062,849.4161987304688,1051.65869140625,0.0646967813372612,muscle
S102T2,13.0,492.8122253417969,629.2427368164062,849.4161987304688,1051.65869140625,0.05773122236132622,cottonoid
S102T2,14.0,634.25048828125,947.4178466796875,907.2073974609375,1078.8297119140625,0.2734185755252838,grasper
S102T2,14.0,634.25048828125,947.4178466796875,907.2073974609375,1078.8297119140625,0.24388256669044495,suction
S102T2,14.0,623.6442260742188,943.3645629882812,914.8275756835938,1077.615966796875,0.20531512796878815,string
S102T2,14.0,622.922119140625,939.9423828125,916.3158569335938,1076.961669921875,0.1424679011106491,cottonoid
S102T2,14.0,745.5809936523438,960.989013671875,974.71533203125,1078.8297119140625,0.07866209000349045,suction
S102T2,14.0,624.9088134765625,934.5418701171875,910.657470703125,1078.8297119140625,0.06237940117716789,muscle
S102T2,14.0,624.9088134765625,934.5418701171875,910.657470703125,1078.8297119140625,0.05599350854754448,drill
S102T2,14.0,745.5809936523438,960.989013671875,974.71533203125,1078.8297119140625,0.054475199431180954,grasper
S102T2,20.0,1170.2366943359375,487.65631103515625,1497.78662109375,848.7040405273438,0.7104829549789429,grasper
S102T2,20.0,717.7277221679688,373.7758483886719,1231.096923828125,1068.269287109375,0.5453583002090454,grasper
S102T2,20.0,696.5653076171875,231.81590270996094,1287.4190673828125,1004.3133544921875,0.30296701192855835,suction
S102T2,20.0,820.4097900390625,379.47869873046875,1432.2677001953125,939.3091430664062,0.281324177980423,grasper
S102T2,20.0,715.4259643554688,338.073974609375,1237.47998046875,1069.9737548828125,0.2809438109397888,cottonoid
S102T2,20.0,711.6024780273438,349.7190856933594,1237.817626953125,1067.3211669921875,0.2671433389186859,string
